date,time,voltage,capacity
2022-01-11,05:23:25.037741,3612.5,3.531216
2022-01-11,05:24:25.099689,3603.75,3.531216
2022-01-11,05:25:25.161649,3612.5,3.44919
2022-01-11,05:26:25.215762,3610.0,3.44919
2022-01-11,05:27:25.277707,3611.25,3.363258
2022-01-11,05:28:25.339642,3602.5,3.363258
2022-01-11,05:29:25.401593,3603.75,3.277326
2022-01-11,05:30:25.455770,3610.0,3.191394
2022-01-11,05:31:25.517704,3605.0,3.191394
2022-01-11,05:32:25.579651,3608.75,3.109368
2022-01-11,05:33:25.641597,3607.5,3.109368
2022-01-11,05:34:25.695711,3607.5,3.023436
2022-01-11,05:35:25.757633,3607.5,3.023436
2022-01-11,05:36:25.819583,3606.25,3.023436
2022-01-11,05:37:25.881538,3606.25,2.93744
2022-01-11,05:38:25.935759,3605.0,2.93744
2022-01-11,05:39:25.967972,3605.0,2.851508
2022-01-11,05:40:26.029944,3605.0,2.851508
2022-01-11,05:41:26.035771,3603.75,2.769482
2022-01-11,05:42:26.097737,3603.75,2.769482
2022-01-11,05:43:26.159670,3602.5,2.68355
2022-01-11,05:44:26.221617,3602.5,2.68355
2022-01-11,05:45:26.255795,3602.5,2.5976179999999998
2022-01-11,05:46:26.317758,3602.5,2.5976179999999998
2022-01-11,05:47:26.379709,3601.25,2.5976179999999998
2022-01-11,05:48:26.441661,3601.25,2.511686
2022-01-11,05:49:26.475795,3600.0,2.511686
2022-01-11,05:50:26.537697,3600.0,2.42966
2022-01-11,05:51:26.599656,3600.0,2.41013
2022-01-11,05:52:26.648040,3596.25,2.394506
2022-01-11,05:53:26.651964,3598.75,2.378882
2022-01-11,05:54:26.655822,3597.5,2.363258
2022-01-11,05:55:26.717740,3595.0,2.363258
2022-01-11,05:56:26.779681,3597.5,2.343728
2022-01-11,05:57:26.815769,3597.5,2.328104
2022-01-11,05:58:26.877664,3596.25,2.328104
2022-01-11,05:59:26.895755,3596.25,2.31248
2022-01-11,06:00:26.957718,3595.0,2.31248
2022-01-11,06:01:26.975822,3595.0,2.296856
2022-01-11,06:02:27.037759,3595.0,2.296856
2022-01-11,06:03:27.099678,3595.0,2.296856
2022-01-11,06:04:27.161640,3593.75,2.277326
2022-01-11,06:05:27.172245,3593.75,2.277326
2022-01-11,06:06:27.234203,3592.5,2.261702
2022-01-11,06:07:27.296147,3592.5,2.261702
2022-01-11,06:08:27.358090,3592.5,2.246078
2022-01-11,06:09:27.420006,3591.25,2.246078
2022-01-11,06:10:27.435757,3591.25,2.246078
